Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
Legion Ventures,LEGION,IDO on Finceptor,$2.1 M,$10 M,24,,DeFi,0.05x,"Jun 13, 2024",0,https://icodrops.com/legion-ventures/
Asymmetry Finance,ASF,IDO on Paid Network,$3 M,$1.43 M,1,,DeFi,0.02x,"Jun 12, 2024",0,https://icodrops.com/asymmetry-finance/
Megafans,MBUCKS,IDO on EnjinStarter,$1.52 M,$14 M,—,,Gaming,—,"Jun 10, 2024",0,https://icodrops.com/megafans/
0xGen,,IEO on Gate.io,$40 K,$37.59 K,2,,DeFi,0.01x,"Jun 12, 2024",0,https://icodrops.com/0xgen/
rkey,RKEY,IDO on KingdomStarter,$12.5 K,$2 M,—,,Real Estate,—,"Jun 12, 2024",0,https://icodrops.com/rkey/
AgoraHub,AGA,IDO on BullPerks,$1.85 M,$40 M,—,,DeFi,—,"Jun 11, 2024",0,https://icodrops.com/agorahub/
Cookie3,COOKIE,IDO on Polkastarter,$12.57 M,$15.51 M,14,,Social,0.55x,"Jun 12, 2024",0,https://icodrops.com/cookie3/
YOLO Games,YOLO,Launchpool,—,$311.64 K,—,,Blast Ecosystem,—,"Jun 7, 2024",0,https://icodrops.com/yolo-games/
Petoshi,PETOSHI,IDO on GameFi,$2.8 M,$11.39 K,—,,DeFi,0.01x,"Jun 11, 2024",0,https://icodrops.com/petoshi/
io.net,IO,Binance Launchpool,$30 M,$88.32 M,17,,Artificial Intellig…,0.03x,"Jun 7, 2024",0,https://icodrops.com/io-net/
Aark Digital,AARK,IDO on Ape Terminal,$6 M,$987.27 K,7,,Perpetual,0.05x,"May 31, 2024",0,https://icodrops.com/aark-digital/
Carv,CARV,Node Sale Round,$44.9 M,$57.17 M,19,,Gaming,0.28x,"Jun 5, 2024",0,https://icodrops.com/carv/
Ultiverse,ULTI,OKX Jumpstart,$13.5 M,$488 K,10,,Gaming,0.01x,"Jun 3, 2024",0,https://icodrops.com/ultiverse/
Taiko,TAIKO,IDO on Bybit,$37 M,$117.6 M,18,,Layer-2,0.06x,"May 29, 2024",0,https://icodrops.com/taiko/
Tap Protocol,TAP,Public Sale on CoinList,$14.53 M,$1.86 M,7,,Infrastructure,0.02x,"May 29, 2024",0,https://icodrops.com/tap-protocol/
Nostra,NSTR,Points Farming,—,$773.1 K,—,,DeFi,0.03x,"Jun 3, 2024",0,https://icodrops.com/nostra/
NuLINK,NLK,BurningDrop on KuCoin,$11.1 M,$13.01 K,18,,Zero Knowledge,0.01x,"May 13, 2024",0,https://icodrops.com/nulink/
Saakuru Protocol,SKR,IDO on Decubate,$25.86 M,$398 M,25,,Metaverse,0.4x,"May 28, 2024",0,https://icodrops.com/saakuru-protocol/
MON Protocol,MON,Launchpool,$6.15 M,$3.05 M,15,,Gaming,0.03x,"May 20, 2024",0,https://icodrops.com/mon-protocol/
Common Wealth,WLTH,Public Sale,$9 M,$60 M,10,,Investment Platform,—,"May 22, 2024",0,https://icodrops.com/common-wealth/
Laika AI,LKI,IDO on Ape Terminal,$1.67 M,$7 M,,,Analytics,—,"May 9, 2024",0,https://icodrops.com/laika-ai/
Multipool,MUL,LBP on Fjord,$650 K,$209.3 K,,,DEX,—,"May 21, 2024",0,https://icodrops.com/multipool/
Arrow Markets,ARROW,IDO on Polkastarter,$5.65 M,—,7,,DeFi,0.01x,"May 21, 2024",0,https://icodrops.com/arrow-markets/
Notcoin,NOT,OKX Jumpstart,—,$35.81 M,—,,Meme,0.05x,"May 13, 2024",0,https://icodrops.com/notcoin/
Peaq,PEAQ,Public Sale on CoinList,$24.04 M,$73.85 M,24,,Blockchain,0.2x,"May 9, 2024",0,https://icodrops.com/peaq/
Cross The Ages,CTA,IDO on Elixir Games,$16 M,$6.46 M,9,,Gaming,0.05x,"May 13, 2024",0,https://icodrops.com/cross-the-ages/
Lifeform,LFT,IEO on Kucoin,$5 M,$5.61 M,6,,Blockchain Service,0.19x,"May 6, 2024",0,https://icodrops.com/lifeform/
Engines of Fury,FURY,IDO on Ape Terminal,$5.8 M,$30 M,10,,Advertising,—,"May 7, 2024",0,https://icodrops.com/engines-of-fury/
Codyfight,CTOK,IDO on DAO Maker,$2.44 M,$20.32 M,10,,Gaming,0.5x,"May 7, 2024",0,https://icodrops.com/codyfight/
Eigenpie SubDAO,EGP,Airdrop,—,$502.9 K,8,,DeFi,0.01x,"May 13, 2024",0,https://icodrops.com/eigenpie-subdao/
BounceBit,BB,Binance Megadrop,$6 M,$49.1 M,25,,Blockchain,0.07x,"Apr 26, 2024",0,https://icodrops.com/bouncebit/
Imaginary Ones,BUBBLE,Airdrop,—,$1.36 M,7,,Social,0.01x,"May 13, 2024",0,https://icodrops.com/imaginary-ones/
Morpheus,MOR,Fair Launch,—,—,—,,DeFi,—,"Feb 8, 2024",0,https://icodrops.com/morpheus/
Aethir,ATH,Node Sale Round,$162.8 M,$305.17 M,10,,DePIN,0.07x,"Mar 18, 2024",0,https://icodrops.com/aethir/
Mocaverse,MOCA,Public Sale,$46.89 M,$113.51 M,13,,NFT,0.32x,"Apr 25, 2024",0,https://icodrops.com/mocaverse/
Capx,CAPX,Incentivized Activities,—,—,,,Platform,—,"Feb 16, 2024",0,https://icodrops.com/capx/
XSwap,XSWAP,Incentive Activities,$900 K,$2.36 M,11,,DeFi,0.14x,"May 1, 2024",0,https://icodrops.com/xswap/
Mode,,Airdrop 1,$5.3 M,$1.34 M,,,Layer-2,0.01x,"Jan 25, 2024",0,https://icodrops.com/mode/
Runecoin,RUNECOIN,OKX Jumpstart,—,$1.07 M,—,,Fungible Token,0.01x,"Apr 29, 2024",0,https://icodrops.com/runecoin/
Gull Network,GULL,Testnet Airdrop,$1.6 M,$254 K,8,,Infrastructure,—,"Apr 22, 2024",0,https://icodrops.com/gull-network/
Meson.Network,MSN,OKX Jumpstart,$12.25 M,$39.81 K,13,,DePIN,0.01x,"Apr 26, 2024",0,https://icodrops.com/mesonnetwork/
Umoja,UMJA,IDO on Ignition (Paid Network,$4 M,$200 M,10,,DeFi,—,"Apr 24, 2024",0,https://icodrops.com/umoja/
Playbux,,IEO on Bybit,$2.45 M,$17.1 K,6,,Social,0.01x,"Apr 18, 2024",0,https://icodrops.com/playbux/
LightLink,LL,Liquidity Bootstrapping Pool,$12.2 M,$30 M,10,,Blockchain,—,"Apr 20, 2024",0,https://icodrops.com/lightlink/
Letit,LETIT,Public Sale,$847.94 K,$8 M,—,,Application,0.3x,"Feb 1, 2024",0,https://icodrops.com/letit/
Focus.xyz,FOCUS,Reservation Tokens,$80 M,—,—,,Social Network,—,"Jan 11, 2024",0,https://icodrops.com/focus-xyz/
BlastOff,OFF,IDO on Seedify,$930 K,$4.8 M,—,,Platform,—,"Apr 18, 2024",0,https://icodrops.com/blastoff/
Snapmuse.io,SMX,IDO on EnjinStarter,$1.48 M,$729.5 K,—,,Music,0.07x,"Apr 12, 2024",0,https://icodrops.com/snapmuse-io/
TeleportDAO,TST,Public Sale,$9.62 M,$192.1 K,4,,Infrastructure,0.01x,"Apr 11, 2024",0,https://icodrops.com/teleportdao/
Merlin Starter,MSTAR,IEO,$10 K,$64.51 K,19,,Launchpad,—,"Apr 15, 2024",0,https://icodrops.com/merlin-starter/
Omni Network,OMNI,Binance Launchpool,$18.14 M,$73.85 M,9,,Blockchain,0.48x,"Apr 13, 2024",0,https://icodrops.com/omni-network/
Y8U AI,Y8U,IDO on Ape Terminal,$900 K,$20 M,—,,Web3,—,"Apr 8, 2024",0,https://icodrops.com/y8u-ai/
Nuklai,NAI,IDO on Ape Terminal,—,$30 M,—,,Blockchain Service,—,"Apr 10, 2024",0,https://icodrops.com/nuklai/
Braavos,,Retrodrop,$10 M,—,4,,Wallet,—,"Apr 14, 2024",0,https://icodrops.com/braavos/
Massa Labs,MASSA,IDO on DAO Maker,$14.42 M,$3.73 M,7,,Blockchain,0.04x,"Apr 8, 2024",0,https://icodrops.com/massa-labs/
Manta Network,MANTA,Stake/Farm,$60.4 M,$63.12 M,27,,Blockchain,0.13x,"Mar 15, 2024",0,https://icodrops.com/manta-network/
Eesee,ESE,IDO on Eesee,$3 M,$4.1 M,5,,NFT,0.3x,"Apr 9, 2024",0,https://icodrops.com/eesee/
Trex20,TX20,IDO on Finceptor,$1 M,$1.23 K,4,,Gaming,0.01x,"Apr 7, 2024",0,https://icodrops.com/trex20/
GAM3S.GG,G3,IDO on Polkastarter,$4.5 M,$250.6 K,31,,Gaming,0.01x,"Apr 8, 2024",0,https://icodrops.com/gam3s-gg/
Saga,SAGA,Binance Launchpool,$13.5 M,$32.1 M,19,,Blockchain,0.01x,"Apr 5, 2024",0,https://icodrops.com/saga/
Planet Mojo,MOJ,IDO on Gate.io,$18.57 M,$22.49 K,22,,Gaming,0.01x,"Apr 6, 2024",0,https://icodrops.com/planet-mojo/
R Games,RGAME,IDO on Finceptor,$940 K,$7.5 M,1,,Gaming,—,"Mar 21, 2024",0,https://icodrops.com/r-games/
PrivateAI,PGPT,IDO on DAO Maker,$1.19 M,$240.3 K,8,,Artificial Intellig…,0.01x,"Apr 1, 2024",0,https://icodrops.com/privateai/
GPU Network,GPU,Node Sale Round,$5.75 M,—,4,,Infrastructure,—,"Apr 5, 2024",0,https://icodrops.com/gpu-network/
Truflation,,IDO on Polkastarter,$6.4 M,$3.96 M,10,,Real World Assets P…,0.05x,"Apr 5, 2024",0,https://icodrops.com/truflation/
Arcade,ARC,IDO on ChainGPT,$8 M,$96 M,21,,Gaming,0.03x,"Apr 3, 2024",0,https://icodrops.com/arcade/
Mystiko Network,XZK,Public Sale,$29.25 M,$385.2 K,8,,Blockchain Service,0.01x,"Mar 28, 2024",0,https://icodrops.com/mystiko-network/
Parcl,PRCL,Point System Activity,$11.6 M,$13.71 M,14,,Real World Assets P…,0.02x,"Apr 4, 2024",0,https://icodrops.com/parcl/
Zeus Network,ZEUS,Point System Activity,$8 M,$8.59 M,6,,Layer-2,0.03x,"Apr 4, 2024",0,https://icodrops.com/zeus-network/
Cysic,,Incentivized Activities,$18 M,$359.4 M,8,,Infrastructure,—,"Mar 25, 2024",0,https://icodrops.com/cysic/
Velar,VELAR,IDO on Bybit,$3.74 M,$121.1 K,19,,DeFi,0.01x,"Mar 29, 2024",0,https://icodrops.com/velar/
Flash Protocol,FLASH,IDO on ChainGPT,$250 K,$20 M,6,,DeFi,—,"Apr 2, 2024",0,https://icodrops.com/flash-protocol/
MetaDOS,SECOND,IDO on GameFi,$3.05 M,$35.7 K,2,,Gaming,0.01x,"Apr 1, 2024",0,https://icodrops.com/metados/
BonusBlock,BONUS,IDO on Bybit,$2.5 M,$25 M,16,3,Marketplace,—,"Mar 26, 2024",0,https://icodrops.com/bonusblock/
Subsquid,SQD,Incentivized Activities,$15.28 M,$43.1 M,19,,Web 3.0,0.35x,"Apr 1, 2024",0,https://icodrops.com/subsquid/
Versus-X,VSX,Public Sale,$1.96 M,$545 K,—,,Gaming,0.03x,"Mar 29, 2024",0,https://icodrops.com/versus-x/
Sensay,SNSY,IDO on EnjinStarter,—,$10 M,—,,Artificial Intellig…,—,"Mar 27, 2024",0,https://icodrops.com/sensay/
Apeiron,APRS,Launchpool on Bybit,$13.11 M,$1.7 M,8,,Gaming,0.02x,"Mar 22, 2024",0,https://icodrops.com/apeiron/
Castle Of Blackwater,COBE,IDO on Seedify,$1 M,$228.2 K,,,Gaming,0.01x,"Mar 18, 2024",0,https://icodrops.com/castle-of-blackwater/
Gaimin,,IDO on ChainGPT,$11.15 M,$1.17 M,10,,Gaming,0.01x,"Mar 23, 2024",0,https://icodrops.com/gaimin/
Unibit,UIBT,IDO on BullPerks,—,$12 M,,,Blockchain Service,—,"Mar 22, 2024",0,https://icodrops.com/unibit/
Pundu,PUNDU,IDO on DAO Maker,$3.1 M,$1.79 M,—,,Meme,—,"Mar 21, 2024",0,https://icodrops.com/pundu/
ANote Music,NOTES,IDO on BullPerks,$451.25 K,$15 M,—,,Platform,—,"Mar 21, 2024",0,https://icodrops.com/anote-music/
Dappad,APPA,IDO on DAO Maker,$1.72 M,$20 M,—,,Blockchain Service,—,"Mar 18, 2024",0,https://icodrops.com/dappad/
Koii Network,KOII,Incentivized Activities,$100 K,$2.08 M,,,Infrastructure,0.02x,"Feb 13, 2024",0,https://icodrops.com/koii-network/
Fluence Network,FLT,IDO on Bybit,$15.15 M,$6.87 M,15,,DePIN,0.14x,"Mar 15, 2024",0,https://icodrops.com/fluence-network/
Bowled,BWLD,IDO on DAO Maker,$3.02 M,$35 M,5,,Gaming,—,"Mar 14, 2024",0,https://icodrops.com/bowled/
Polyhedra Network,ZKJ,OKX Jumpstart,$45 M,$20.31 M,17,,Zero Knowledge,0.01x,"Mar 15, 2024",0,https://icodrops.com/polyhedra-network/
Oxya Origin,OXYZ,IDO on Decubate,$1.41 M,$487.1 K,—,,Gaming,0.02x,"Mar 15, 2024",0,https://icodrops.com/oxya-origin/
YOUR Protocol,YOUR,IDO on DAO Maker,$450 K,$78.84 K,11,,Ethereum Ecosystem,0.01x,"Feb 29, 2024",0,https://icodrops.com/your-protocol/
EZswap Protocol,EZSWAP,IDO on EnjinStarter,$1.15 M,$40 M,3,,DeFi,—,"Mar 8, 2024",0,https://icodrops.com/ezswap-protocol/
Aevo,AEVO,Binance Launchpool,$16.61 M,$24.65 M,7,,DEX,0.1x,"Mar 8, 2024",0,https://icodrops.com/aevo/
Nibiru,NIBI,Launchpool on Bybit,$32.5 M,$4.8 M,17,,Blockchain,0.06x,"Mar 6, 2024",0,https://icodrops.com/nibiru/
StarHeroes,STAR,IDO on Ape Terminal,$1.59 M,$879.26 K,—,,Gaming,0.06x,"Feb 28, 2024",0,https://icodrops.com/starheroes/
BRCStarter,BRCST,IDO on GameFi,$1.02 M,$3.78 M,7,,Platform,—,"Mar 6, 2024",0,https://icodrops.com/brcstarter/
MNET,NUUM,IEO,$40.04 M,$738.59 K,32,,Blockchain Service,0.01x,"Mar 7, 2024",0,https://icodrops.com/mnet/
Masa,MASA,Public Sale,$17.69 M,$129.83 K,13,,Artificial Intellig…,0.01x,"Mar 7, 2024",0,https://icodrops.com/masa/
Edu3Labs,NFE,IDO on DAO Maker,—,$27 M,2,,Education,—,"Feb 29, 2024",0,https://icodrops.com/edu3labs/
K9 Finance,KNINE,IDO on Ape Terminal,$1.62 M,$10 M,—,,Platform,—,"Mar 1, 2024",0,https://icodrops.com/k9-finance/
Bounty Temple,TYT,IDO on BSClaunch,$350 K,$48 M,,,Gaming,—,"Mar 3, 2024",0,https://icodrops.com/bounty-temple/
Patex,PATEX,IDO on ChainGPT,$12.48 M,$7.37 M,4,,Layer-2,0.97x,"Mar 4, 2024",0,https://icodrops.com/patex/
Weave6,WX,IDO on Poolz,$2.69 M,$86.8 K,—,,Ethereum Ecosystem,0.01x,"Mar 1, 2024",0,https://icodrops.com/weave6/
QORPO World,QORPO,IDO on Bybit,$10.26 M,$37.5 M,9,,Gaming,0.07x,"Feb 21, 2024",0,https://icodrops.com/qorpo-world/
Vendetta Games,VDT,IDO on BullPerks,$200 K,$15 M,—,,Gaming,—,"Feb 28, 2024",0,https://icodrops.com/vendetta-games/
Portal Gaming,PORTAL,Binance Launchpool,$29 M,$9.73 M,5,,Gaming,0.01x,"Feb 22, 2024",0,https://icodrops.com/portal-2/
Celestia,TIA,Retrodrop,$156.5 M,$311.8 M,23,,Modular Blockchain,1.04x,"Feb 28, 2024",0,https://icodrops.com/celestia/
QnA3.AI,GPT,OKX Jumpstart,—,$586.5 K,,,Web 3.0,—,"Feb 26, 2024",0,https://icodrops.com/qna3-ai/
Beoble,BBL,IDO on Bybit,$7.97 M,$40 K,10,,Social,—,"Feb 28, 2024",0,https://icodrops.com/beoble/
Data Ownership Protocol,DOP,Point System Activity,—,$56.5 K,—,,Zero Knowledge,—,"Feb 27, 2024",0,https://icodrops.com/data-ownership-protocol/
Dechat,CHAT,IDO on Bybit,$4.17 M,$54.9 K,,,Social,—,"Feb 26, 2024",0,https://icodrops.com/dechat/
Forgotten Playland,,IDO on Ape Terminal,$10 M,$502.1 K,1,,Gaming,0.01x,"Feb 19, 2024",0,https://icodrops.com/forgotten-playland/
Hover,HOV,IDO on DAO Maker,—,$27.5 M,—,,Lending,—,"Feb 14, 2024",0,https://icodrops.com/hover/
Metahorse Unity,MUNITY,IDO on DAO Maker,$775 K,$25 M,,,Gaming,—,"Feb 13, 2024",0,https://icodrops.com/metahorse-unity/
Style Protocol,STYLE,IDO on ChainGPT,$3.66 M,$9.2 M,2,,NFT,1x,"Feb 19, 2024",0,https://icodrops.com/style-protocol/
Heroes of Mavia,MAVIA,Launchpool,$8 M,$7.31 M,11,,Gaming,0.01x,"Feb 6, 2024",0,https://icodrops.com/heroes-of-mavia/
StarkNet,STRK,Airdrop,$282.5 M,$367.8 M,30,,Blockchain,—,"Feb 20, 2024",0,https://icodrops.com/starknet/
Octavia,VIA,IDO on Decubate,$3.39 M,$66.47 K,—,,Artificial Intellig…,0.01x,"Feb 18, 2024",0,https://icodrops.com/octavia/
Pixels,PIXEL,Binance Launchpool,$7.2 M,$42.63 M,14,,Gaming,0.67x,"Feb 9, 2024",0,https://icodrops.com/pixels/
Lynex,LYNX,IDO on DAO Maker,—,$6 M,—,,DEX,—,"Feb 7, 2024",0,https://icodrops.com/lynex/
MeMusic,MeMusic,IDO on SeaPad,$3.52 M,$20 M,9,,Platform,—,"Feb 7, 2024",0,https://icodrops.com/memusic/
Ta-da,TADA,Public Sale,$4.55 M,$498 K,5,,Social,0.02x,"Jan 18, 2024",0,https://icodrops.com/ta-da/
Icon.X World,ICNX,IDO on EnjinStarter,$1.1 M,$67.95 K,—,,Platform,0.01x,"Feb 5, 2024",0,https://icodrops.com/icon-x-world/
Lends,LENDS,IDO on Bybit,$3.62 M,—,,,Lending,—,"Feb 2, 2024",0,https://icodrops.com/lends/
NAVI Protocol,NAVX,IDO on Cetus,$2.03 M,$8.44 M,13,,DeFi,—,"Feb 4, 2024",0,https://icodrops.com/navi-protocol/
Web3War,FPS,IDO on DAO Maker,—,$8 M,—,,Gaming,—,"Jan 29, 2024",0,https://icodrops.com/web3war/
Massa,MASSA,Main Sale,—,$3.73 M,—,,Blockchain,0.05x,"Jan 30, 2024",0,https://icodrops.com/massa/
Wormhole,,Retrodrop,$225 M,$152.3 M,5,,Cross-Сhain Communi…,0.06x,"Feb 6, 2024",0,https://icodrops.com/wormhole/
BeFi Labs,BEFI,IDO on Ape Terminal,$1.26 M,$5.25 M,—,,Blockchain Service,—,"Jan 31, 2024",0,https://icodrops.com/befi-labs/
Sailwars,SWT,IDO on TrustPad,$400 K,$39.6 K,—,,Gaming,0.01x,"Feb 3, 2024",0,https://icodrops.com/sailwars/
Stratum Exchange,STRAT,IDO Round 2 on Impossible Finance,$25 K,$12.48 K,—,,DEX,0.01x,"Jan 23, 2024",0,https://icodrops.com/stratum-exchange/
Ondo Finance,ONDO,Launchpool on Bybit,$32.44 M,$2.69 B,16,,Real World Assets P…,4.88x,"Jan 18, 2024",0,https://icodrops.com/ondo-finance/
ZetaChain,ZETA,OKX Jumpstart,$27 M,$105.25 M,9,,Blockchain,0.04x,"Jan 30, 2024",0,https://icodrops.com/zetachain/
Army of Fortune Metaverse,AFG,IDO on Bybit,$3 M,$291.89 K,3,,Gaming,0.01x,"Jan 30, 2024",0,https://icodrops.com/army-of-fortune-metaverse/
Dmail,,OKX Jumpstart,—,$102.16 K,17,,Blockchain Service,0.01x,"Jan 26, 2024",0,https://icodrops.com/dmail/
SubQuery Network,SQT,Public Sale,$15.8 M,$6.88 M,39,,Web 3.0,0.06x,"Jan 30, 2024",0,https://icodrops.com/subquery-network/
IvendPay,IVPAY,IDO on Solanium,$4.2 M,$590.3 K,—,,BNB Chain Ecosystem,0.02x,"Jan 23, 2024",0,https://icodrops.com/ivendpay/
PECland,PECL,IDO on GameFi,$750 K,—,8,,Gaming,—,"Jan 25, 2024",0,https://icodrops.com/pecland/
Aether Games,,Strategic Sale on Avalaunch,$17.14 M,$14.76 K,7,,Gaming,0.01x,"Jan 24, 2024",0,https://icodrops.com/aether-games/
AltLayer,ALT,Retrodrop,$37.2 M,$64.36 M,18,,Blockchain Service,0.36x,"Jan 25, 2024",0,https://icodrops.com/altlayer/
Cadence Protocol,CAD,Liquidity Bootstrapping Pool,$3.8 M,$138.9 K,4,,DeFi,0.01x,"Jan 23, 2024",0,https://icodrops.com/cadence-protocol/
GT-Protocol,GTAI,IDO on Bybit,$5.08 M,$1.86 M,5,,DeFAI,0.12x,"Jan 18, 2024",0,https://icodrops.com/gt-protocol/
UFORIKA,FORA,IDO on Poolz,$4.62 M,$25.9 M,—,,Gaming,—,"Jan 23, 2024",0,https://icodrops.com/uforika/
CodeX,CDX,IDO on EnjinStarter,$1.91 M,$343,—,,Software,0.01x,"Jan 22, 2024",0,https://icodrops.com/codex/
Devomon,EVO,IDO on Gate.io,$3.66 M,$24 M,—,,Gaming,—,"Jan 22, 2024",0,https://icodrops.com/devomon/
Rapidchain,RAPID,Main Sale,—,$16.72 M,—,,Blockchain,—,"Nov 27, 2023",0,https://icodrops.com/rapidchain/
Project Hive,HGT,IDO on StarLaunch,$1.36 M,$5 M,3,,Gaming,—,"Jan 20, 2024",0,https://icodrops.com/project-hive/
NinjaRoll,ROLL,IDO on DojoSwap,—,$500 K,—,,Gaming,—,"Jan 19, 2024",0,https://icodrops.com/ninjaroll/
Sociapol,SPOL,IDO on Kommunitas,$575 K,$7 M,—,,Social,—,"Jan 16, 2024",0,https://icodrops.com/sociapol/
Soul Society,HON,IDO on Bybit,$40 K,$2.82 K,—,,Web 3.0,0.01x,"Jan 10, 2024",0,https://icodrops.com/soul-society/
OORT,OORT,Main Sale,$119.51 M,$13.89 M,2,,Blockchain Service,0.05x,"Jan 14, 2024",0,https://icodrops.com/oort/
Mar3 AI,Mar-01,IDO on Gate io,$1.36 M,$5.26 K,,,Artificial Intellig…,0.01x,"Jan 8, 2024",0,https://icodrops.com/mar3-ai/
Moon App,APP,IDO on Bybit,$2.03 M,$122.52 K,—,,Launchpad,0.01x,"Jan 9, 2024",0,https://icodrops.com/moon-app/
Prism,DUEL,Main Sale,—,$406.8 K,—,,Gaming,0.01x,"Jan 3, 2024",0,https://icodrops.com/prism/
GameGPT,DUEL,IDO on DAO Maker,$960 K,$414.9 K,—,,Gaming,0.01x,"Jan 6, 2024",0,https://icodrops.com/gamegpt/
Magic Square,SQR,IDO on ChainGPT,$13.85 M,$308 K,4,,Web 3.0,0.01x,"Jan 10, 2024",0,https://icodrops.com/magic-square/
Boba Finance,BFI,Main Sale,$50 K,$90 M,—,,DeFi,—,"Jan 5, 2024",0,https://icodrops.com/boba-finance/
Port3 Network,,IDO on Poolz,$10.16 M,$3.65 M,9,,DePIN,0.07x,"Jan 7, 2024",0,https://icodrops.com/port3-network/
Xai,XAI,Binance Launchpool,—,$20.9 M,5,,Gaming,0.28x,"Jan 5, 2024",0,https://icodrops.com/xai/
Sleepless AI,,Binance Launchpool,—,$18.75 M,,,Gaming,0.01x,"Dec 28, 2023",0,https://icodrops.com/sleepless-ai/
ZKFair,ZKF,Main Sale,—,$219.9 K,—,,Layer-2,0.01x,"Dec 24, 2023",0,https://icodrops.com/zkfair/
BRCport,BRCP,IDO on DAO Maker,$46 K,—,—,,Blockchain Service,—,"Dec 29, 2023",0,https://icodrops.com/brcport/
Ladder,AMMX,Main Sale,—,—,—,,Blockchain Service,—,"Dec 24, 2023",0,https://icodrops.com/ladder/
Manilla Finance,MNLA,Public Presale (Round 2),$1.1 M,$50 M,—,,Exchange,—,"Dec 25, 2023",0,https://icodrops.com/manilla-finance/
Eclipse Fi,ECLIP,IDO on Eclipse Fi,$3.16 M,$1.64 M,8,,DeFi,0.07x,"Dec 18, 2023",0,https://icodrops.com/eclipse-fi/
Orders.Exchange,RDEX,Main Sale,—,$60 K,—,,DEX,0.01x,"Dec 20, 2023",0,https://icodrops.com/orders-exchange/
Liquid Crypto,LQDX,Main Sale,—,$115.96 K,—,1,DeFi,0.01x,"Dec 14, 2023",0,https://icodrops.com/liquid-crypto/
Agoras: Currency of Tau,AGRS,Main Sale,—,$14.22 M,—,,Blockchain Service,0.06x,"Dec 19, 2023",0,https://icodrops.com/agoras-currency-of-tau/
VaporWallet,VPR,IDO on Gate.io,$60 K,$288.5 K,—,,Wallet,0.02x,"Dec 20, 2023",0,https://icodrops.com/vaporwallet/
INTOverse,TOX,Main Sale,—,$228.6 K,—,,Wallet,0.01x,"Dec 18, 2023",0,https://icodrops.com/intoverse/
Fusionist,,OKX Jumpstart,$6.6 M,$18.67 M,,,Gaming,0.01x,"Dec 13, 2023",0,https://icodrops.com/fusionist/
TheADA,TADA,Main Sale,—,$70 M,—,,Blockchain Service,—,"Dec 12, 2023",0,https://icodrops.com/theada/
GPT Plus,GPTPLUS,Main Sale,—,$16.39 K,—,,Artificial Intellig…,0.02x,"Dec 6, 2023",0,https://icodrops.com/gpt-plus/
ZEETOX,GREENGOLD,Main Sale,—,$20 M,—,,Gaming,—,"Dec 8, 2023",0,https://icodrops.com/green-gold/
Finceptor,FINC,Main Sale,—,$140.8 K,—,,DeFi,0.02x,"Dec 4, 2023",0,https://icodrops.com/finceptor/
Inspect,INSP,IDO on Bybit,$30 K,$1.31 M,12,,Web 3.0,0.09x,"Dec 3, 2023",0,https://icodrops.com/inspect/
5ire,5IRE,IDO on Bybit,$242.96 M,$156 K,9,,Blockchain Service,0.01x,"Nov 30, 2023",0,https://icodrops.com/5ire/
BitStable,BSSB,IDO on Bounce,$223.23 K,$110.67 K,—,,DeFi,0.12x,"Nov 29, 2023",0,https://icodrops.com/bitstable/
Memecoin,MEME,Binance Launchpool,$15.87 M,$37.34 M,,,Meme,0.54x,"Oct 28, 2023",0,https://icodrops.com/memecoin/
Friend3,F3,IDO on Poolz,$992.5 K,$249.7 K,—,,Social,0.03x,"Nov 25, 2023",0,https://icodrops.com/friend3/
Jito,JTO,Airdrop,$64.2 M,$307.8 M,5,,Liquid Staking Prot…,0.12x,"Nov 25, 2023",0,https://icodrops.com/jito/
Cradles,,IDO on Bybit,$6.35 M,$180.48 K,19,,Gaming,0.01x,"Nov 17, 2023",0,https://icodrops.com/cradles/
BitGain,BGN,Main Sale,—,$1.79 K,—,,Blockchain Service,0.01x,"Nov 10, 2023",0,https://icodrops.com/bitgain/
Monocerus,CERUS,Main Sale,—,$10.01 M,—,,Gaming,—,"Nov 11, 2023",0,https://icodrops.com/monocerus/
MultiBit,MUBI,IDO on Bounce,$180.31 K,$391.7 K,—,,Multi-Chain Platform,0.86x,"Nov 12, 2023",0,https://icodrops.com/multibit/
AI Surf,AISC,Main Sale,$70 K,$6.12 K,—,,Artificial Intellig…,0.01x,"Nov 9, 2023",0,https://icodrops.com/ai-surf/
Propbase,PROPS,Main Sale,$180 K,$6.32 M,—,,Real Estate,1.64x,"Nov 3, 2023",0,https://icodrops.com/propbase/
Masternoded,NODED,Main Sale,—,$21.7 K,—,,Ethereum Ecosystem,0.01x,"Nov 1, 2023",0,https://icodrops.com/masternoded/
Lamas Finance,LMF,Main Sale,—,$15.87 K,—,,DeFi,0.01x,"Oct 25, 2023",0,https://icodrops.com/lamas-finance/
Neutron,NTRN,Binance Launchpool,$10 M,$3.93 M,3,,Infrastructure,0.04x,"Oct 11, 2023",0,https://icodrops.com/neutron/
Openfabric AI,OFN,Main Sale,$5.33 M,$44.01 K,2,,Artificial Intellig…,0.01x,"Oct 13, 2023",0,https://icodrops.com/openfabric-ai/
BillionAir,AIRB,Pre-Sale,—,—,—,,Gaming platform,—,"Jun 20, 2023",0,https://icodrops.com/billionair/
