Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
Universe Finance,UNT,IDO Round 3,$400 K,$10.14 K,1,,Finance,0.01x,"Feb 18, 2022",0,https://icodrops.com/universe-finance/
DragonSB,SB,Public Sale,$2.02 M,$263,8,,Gaming,0.01x,"Feb 16, 2022",0,https://icodrops.com/dragonsb/
Onston,ONSTON,IDO on Gate.io,$200 K,$367.3 K,2,,VR,0.01x,"Feb 17, 2022",0,https://icodrops.com/onston/
BattleVerse,BVC,Public Sale,$8.9 M,$311.6 K,10,,Gaming,0.01x,"Feb 17, 2022",0,https://icodrops.com/battleverse/
Metaxy,MXY,IDO on GameStation,$1.95 M,$95.72 K,21,,Gaming,0.01x,"Feb 17, 2022",0,https://icodrops.com/metaxy/
Arenum,,IDO on OccamRazer,$2.8 M,$2.39 K,5,,Play to Earn,0.01x,"Feb 15, 2022",0,https://icodrops.com/arenum/
Harmony Launcher,HARL,IDO on Harmony Launcher,$1.95 M,$217 K,16,,Launchpad,0.02x,"Feb 16, 2022",0,https://icodrops.com/harmony-launcher/
PhotoChromic,PHCR,IEO on Huobi,$1.37 M,$17.55 K,7,,NFT,0.01x,"Feb 16, 2022",0,https://icodrops.com/photochromic/
Prism Protocol,PRISM,Main Sale,$725 K,$34.2 K,,,DEX,0.01x,"Feb 1, 2022",0,https://icodrops.com/prism-protocol/
Bitgert,BRISE,IDO on Gate.io,$3.15 M,$17.6 M,—,,BNB Chain Ecosystem,0.1x,"Feb 14, 2022",0,https://icodrops.com/bitgert/
Galaxy War,GWT,IDO on BitMart,$2.6 M,$42.01 K,26,,Gaming,0.01x,"Feb 12, 2022",0,https://icodrops.com/galaxy-war/
NuriFootBall,NRFB,Public Sale,$121.42 K,$14.41 K,—,,Gaming,0.01x,"Feb 10, 2022",0,https://icodrops.com/nurifootball/
Nym,NYM,Main Sale Option 2,$64.17 M,$32.34 M,15,,Privacy Coin,0.13x,"Feb 10, 2022",0,https://icodrops.com/nym/
FADO Go,FADO,IDO on Roseon Finance,$1.2 M,$47.3 K,9,,DeFi,0.02x,"Feb 10, 2022",0,https://icodrops.com/fado-go/
4PLAY,4PLAY,IDO on SafeLaunch,$1 M,$7.69 K,3,,NFT,0.01x,"Feb 8, 2022",0,https://icodrops.com/4play/
Iron Bank,IB,Main Sale,—,$1.12 M,—,,Sonic (ex. Fantom) …,0.01x,"Jan 22, 2022",0,https://icodrops.com/iron-bank/
